round,slot_0_std,slot_1_std,slot_2_std,slot_3_std
6000,0.05070088756619551,0.06532949104347899,0.060805308978739675,0.04615259039317295
6050,0.05062764462228122,0.036111549399049606,0.037608371408504246,0.06650918733528476
6100,0.04062135399023523,0.04577545193660025,0.04365901510570296,0.032281945418453334
6150,0.05057344757874432,0.05489446602345267,0.057916125561021436,0.06033710632769855
6200,0.03941253607673578,0.04004722212588533,0.04024443315540673,0.043232487784072765
6250,0.041142114675840384,0.03310160116973195,0.036404417314386435,0.04969585093345319
6300,0.05536476858074998,0.06315134202849533,0.04871141139404605,0.051268235780061705
6350,0.049020852705761855,0.0797467842611851,0.07072709806007878,0.06573005400880179
6400,0.031057520828295365,0.038810874764684186,0.04079815682111143,0.04203306317650427
6450,0.05536628577031333,0.0696619436995552,0.04863685845117877,0.10017026305246485
6500,0.04728779969505877,0.020706945694621403,0.0308766967145127,0.04130469222739712
6550,0.03483293843476315,0.062340048123176804,0.045592780130191676,0.04410607214432045
6600,0.03855922198385232,0.06499041775523527,0.050128379187841285,0.052556369737644555
6650,0.055467554480074205,0.03480221832010138,0.05907156337866807,0.043464422232442006
6700,0.05942513273018413,0.05883426212675741,0.06444310358758337,0.05959931543231013
6750,0.05922538644871809,0.06547660956402676,0.07078464805309129,0.0625412695745777
6800,0.02819564505380218,0.04621051828317877,0.0450987095159052,0.04581617181738343
6850,0.04350832564004275,0.039403268899927575,0.03204043695082825,0.04531670773566854
6900,0.061485269780655605,0.06640871629537798,0.05443555455766019,0.060672319883122994
6950,0.04696418209657228,0.06008125830906007,0.07766312896091683,0.05004062349731466
7000,0.025488852465342576,0.020342762840872903,0.024870705659470138,0.02666042760347253
7050,0.06409097908442342,0.09655319777200547,0.09159922707097477,0.052658583345927566
7100,0.06329023937385607,0.05182869475493282,0.06593531982177685,0.061192404757453356
7150,0.04689479288791028,0.07655589853172647,0.06348356007660566,0.029145318663552116
7200,0.061040740493542495,0.04829973084811136,0.040618616421537544,0.058257737683504326
7250,0.07630896670772054,0.06964850034279273,0.06331412480639688,0.060705235359069326
7300,0.03612906862901395,0.06995205215002631,0.07462558810488532,0.028614793376853173
7350,0.05197464766595345,0.06643055321160588,0.08142266514920767,0.04390298395325766
7400,0.0349114651654725,0.056242105223755626,0.03974631555251379,0.06794978734330225
7450,0.025598328070403353,0.04052778799786635,0.029552732530173906,0.044925200055202855
7500,0.032123984808862055,0.04613114349330611,0.041192455619931186,0.029423188134530903
7550,0.039335561518808904,0.03231478918390154,0.027558374407791186,0.04836479711525729
7600,0.0476122253208144,0.036091738666902705,0.02759453569096605,0.051179738178306455
7650,0.06919321932097104,0.023274226088100113,0.0442657248895802,0.06156319030069836
7700,0.0706481988446981,0.06688884510888193,0.05839580806873042,0.07676820696095486
7750,0.04350800386135865,0.025470846079390437,0.028771555397649265,0.038856989075325955
7800,0.0277977984739799,0.037679246276962605,0.030885426984259102,0.02740172257359016
7850,0.06121409641577667,0.06851927028216223,0.08461585194276544,0.06451910104767425
7900,0.07398603652041377,0.05188689237177342,0.07734578462980385,0.05856977377453323
7950,0.02522589146095732,0.03352798234311155,0.030215029372813788,0.03860236262199503
8000,0.028645837393939107,0.021367451883647692,0.02085061150182411,0.05500111271601694
8050,0.05669505798568336,0.07856196026067576,0.07206464875374055,0.04625371768841937
8100,0.058539989750596995,0.05353193439434072,0.054032730821234644,0.049489045252459674
8150,0.06280364957548247,0.009877975501083212,0.031720491799466156,0.056301211354641376
8200,0.08823898458164621,0.07055921201374064,0.0805534456122145,0.08489221401282922
8250,0.03891681384697364,0.028143176792963503,0.04125202540482102,0.0415790139373218
8300,0.044924986366163766,0.04820994088359787,0.04904074224560637,0.047543344434315925
8350,0.03712996633448514,0.0494659640561063,0.0576167683925435,0.03721711434273216
8400,0.053032797399345244,0.05887669827699241,0.041260654381626086,0.07344634504180585
8450,0.030578790034924547,0.049661977407268035,0.06303219494829605,0.053307725518915175
8500,0.04837864818285026,0.050201888410696276,0.04123160923369352,0.03979178809754595
8550,0.0532926486487583,0.056049049947345234,0.06661637636497501,0.03436332929155731
8600,0.03838346519010496,0.0215726122664827,0.017975383166986995,0.044566731986987775
8650,0.04145091555080537,0.037706498113720385,0.021445614936392,0.05494475043168364
8700,0.03849552701288813,0.05358130270906073,0.058406390061362314,0.026978702711583438
