round,client,slot_std
3350,1,0.03977834681079645
3350,2,0.03017358115968338
3350,3,0.009970550386011804
3350,4,0.041767294322232563
3400,0,0.053778736504309956
3400,1,0.04393548537344273
3400,2,0.04267077454183366
3400,3,0.020341629113716536
3400,4,0.032116039606402275
3450,0,0.03403949911499874
3450,1,0.06864460557829725
3450,2,0.04005648355759651
3450,3,0.017836269228737264
3450,4,0.0824539075787194
3500,0,0.042267866045022896
3500,1,0.017136419550186098
3500,2,0.03192196540001882
3500,3,0.035191049998543646
3500,4,0.0668607882095328
3550,0,0.00568000880281007
3550,1,0.09098133050247179
3550,2,0.020801141795584198
3550,3,0.08789786686831484
3550,4,0.07870675002819008
3600,0,0.09778438973067226
3600,1,0.12476689013917114
3600,2,0.04248652727630254
3600,3,0.016890085849396965
3600,4,0.07270331405788871
3650,0,0.048061262987982335
3650,1,0.024687585442890105
3650,2,0.02575393173866856
3650,3,0.10062283538044434
3650,4,0.07306613442628533
3700,0,0.04836556109464668
3700,1,0.04821721684211979
3700,2,0.04303866720752397
3700,3,0.02261165352202265
3700,4,0.014571376050325529
3750,0,0.005696654720096705
3750,1,0.03029144887587915
3750,2,0.08278215387388758
3750,3,0.023170725064183894
3750,4,0.007316419889536149
3800,0,0.015076305913585063
3800,1,0.014281522152767907
3800,2,0.024383908628437728
3800,3,0.044528558251980266
3800,4,0.021726984949596656
3850,0,0.14961933990965207
3850,1,0.04385056299524557
3850,2,0.027551814822258082
3850,3,0.039181907495679694
3850,4,0.03732106476240998
3900,0,0.02079259182978399
3900,1,0.018978194724472614
3900,2,0.032067302271940504
3900,3,0.046311607616233756
3900,4,0.06011216079130744
3950,0,0.029013660575666775
3950,1,0.10211903287340711
3950,2,0.06997915314577621
3950,3,0.08684907526853698
3950,4,0.03987320528876504
4000,0,0.17842748351921572
4000,1,0.06151895541213293
4000,2,0.02648748525247347
4000,3,0.00809023330936752
4000,4,0.08866110689022556
4050,0,0.023038052760595895
4050,1,0.0344066127365075
4050,2,0.03083257206267425
4050,3,0.04168890739753201
4050,4,0.01215306031417601
4100,0,0.12283597549171009
4100,1,0.04276724067554511
4100,2,0.028617247858590465
4100,3,0.03211972719373563
4100,4,0.013266569827954789
4150,0,0.02390287639594867
4150,1,0.023861579997980012
4150,2,0.11158241348886482
4150,3,0.018451219471893984
4150,4,0.03248264921461917
4200,0,0.03178545264739831
4200,1,0.00917687310580243
4200,2,0.06468318946990788
4200,3,0.06509106601523745
4200,4,0.03418328356082838
4250,0,0.010370963070033561
4250,1,0.019993311381559572
4250,2,0.023288087083313657
4250,3,0.01848031046817124
4250,4,0.026278829406957995
4300,0,0.05448598443636674
4300,1,0.01662443608066149
4300,2,0.1011330435614394
4300,3,0.029710214994173298
4300,4,0.01574934522448472
4350,0,0.08120229368681649
4350,1,0.06546017873486137
4350,2,0.10577160240348067
4350,3,0.05213832563479576
4350,4,0.07175023954663844
4400,0,0.041424170178773645
4400,1,0.07853157008490279
4400,2,0.046999308505551424
4400,3,0.01731348823894249
4400,4,0.046198511880795476
4450,0,0.06154203339994545
4450,1,0.08151878234492956
4450,2,0.01708381909878468
4450,3,0.016323449390370906
4450,4,0.07200560742053357
4500,0,0.011900288862040283
4500,1,0.013229016403346103
4500,2,0.11031424148767012
4500,3,0.01880270924627619
4500,4,0.0419410523830769
4550,0,0.06664653029228154
4550,1,0.015812890311388363
4550,2,0.024003892913442196
4550,3,0.07882995544207798
4550,4,0.006351131788901878
4600,0,0.06290148547530494
4600,1,0.017963156738168267
4600,2,0.06497988150189257
4600,3,0.015179673909541004
4600,4,0.032065743013378
4650,0,0.04919542661670898
4650,1,0.12416546419999401
4650,2,0.034811600078134886
4650,3,0.053771925760567656
4650,4,0.05984164519797228
4700,0,0.010099628706046571
4700,1,0.03802173720386801
4700,2,0.06622935527392669
4700,3,0.06038519582646065
4700,4,0.01315339784998539
4750,0,0.02266340662830723
4750,1,0.11895581900436818
4750,2,0.1333692126204545
4750,3,0.07187730431088801
4750,4,0.02663967905212073
4800,0,0.08175081039353678
4800,1,0.05931101815851756
4800,2,0.02603411223760088
4800,3,0.02948232521359197
4800,4,0.08093915538847686
4850,0,0.05228094179526611
4850,1,0.05236274319590217
4850,2,0.0360295972084063
4850,3,0.014417870855296227
4850,4,0.039300532757203174
4900,0,0.019972543653726228
4900,1,0.022015491704706493
4900,2,0.014447404611209578
4900,3,0.049208256421051935
4900,4,0.01489572086204626
4950,0,0.02174862064591682
4950,1,0.01594757034786179
4950,2,0.053218529432895824
4950,3,0.03431110425212223
4950,4,0.11233369930702009
5000,0,0.0658963200793489
5000,1,0.055241605697155464
5000,2,0.01769284813137783
5000,3,0.05929850335379469
5000,4,0.01590738822057221
5050,0,0.05555129948975092
5050,1,0.019138247046163865
5050,2,0.07232019081833234
5050,3,0.09659091572192492
5050,4,0.0774009164997418
5100,0,0.08894757936560163
5100,1,0.04638865028215416
5100,2,0.049283231174508016
5100,3,0.12049567160275923
5100,4,0.08448071895409034
5150,0,0.0994677962960877
5150,1,0.07176813359702203
5150,2,0.09977605862630573
5150,3,0.06472134501074588
5150,4,0.035526847242613575
5200,0,0.06353252611851665
5200,1,0.025803585022240606
5200,2,0.005383946043563205
5200,3,0.05908520859741462
5200,4,0.01796239126619838
5250,0,0.13420347191857596
5250,1,0.024441499033406276
5250,2,0.09552409054788223
5250,3,0.026143498235699055
5250,4,0.024450702955129945
5300,0,0.03283271044248403
5300,1,0.08079091455726937
5300,2,0.02549416599930266
5300,3,0.11928451282542929
